email,revenue
sarahcampos@yahoo.com,62.39
julie69@icloud.com,47.06
davidcaldwell@yahoo.com,167.86
mitchellclark@icloud.com,78.32
jamesrodgers@icloud.com,109.42
davidalvarez@yahoo.com,130.21
juliawells@icloud.com,-6.52
lanesarah@yahoo.com,70.41
lynchjody@gmail.com,51.31
rileyamy@yahoo.com,59.16
zrobinson@yahoo.com,182.01
enorris@icloud.com,132.34
johnsonjoshua@gmail.com,125.38
sarahibarra@gmail.com,156.13
dylanwatts@gmail.com,39.55
maryramirez@yahoo.com,94.64
camposmichelle@gmail.com,84.27
kimberly63@icloud.com,104.82
ismith@gmail.com,74.22
acastaneda@yahoo.com,99.51
laurahenderson@gmail.com,34.57
jonesjason@icloud.com,34.89
wcabrera@yahoo.com,74.0
dylanwilliams@icloud.com,80.56
wsmith@icloud.com,98.84
yleon@yahoo.com,116.17
mkim@gmail.com,85.76
sara74@icloud.com,150.23
vargasmaria@gmail.com,157.47
keyemily@icloud.com,57.57
kevinperkins@icloud.com,21.69
josephbrennan@icloud.com,47.51
jeffrey28@icloud.com,140.87
steven73@yahoo.com,114.47
frogers@icloud.com,82.08
brownjessica@gmail.com,49.57
gateskathy@icloud.com,154.21
nolanjason@gmail.com,144.35
vbailey@icloud.com,85.2
abrown@icloud.com,107.67
michaeljones@yahoo.com,65.0
russellwilliams@icloud.com,91.48
davissuzanne@yahoo.com,59.41
hodgemark@yahoo.com,81.97
sarah12@icloud.com,39.72
angela36@yahoo.com,85.28
karen64@gmail.com,142.71
jamesshawn@icloud.com,51.39
jesseguzman@yahoo.com,73.51
pwilliams@gmail.com,79.96
sheila14@gmail.com,70.53
wmurphy@icloud.com,130.06
wfreeman@gmail.com,43.55
prestonjulia@gmail.com,151.82
cheryl80@yahoo.com,89.12
lindsay78@gmail.com,48.13
brian97@yahoo.com,77.96
stephanie79@yahoo.com,68.42
shortrichard@gmail.com,103.31
stricklandfrank@icloud.com,59.59
danderson@yahoo.com,164.06
amydavenport@yahoo.com,36.12
tracynelson@icloud.com,60.64
danamullins@gmail.com,173.74
jeffreymorgan@yahoo.com,84.23
richard04@icloud.com,36.06
fwalters@gmail.com,70.33
donnacampbell@yahoo.com,102.19
tsanders@gmail.com,120.49
barbara10@yahoo.com,85.88
millerroy@icloud.com,126.88
carl95@gmail.com,71.98
raymondramirez@gmail.com,52.6
catherinestuart@yahoo.com,124.55
susanrogers@gmail.com,78.6
samuel87@gmail.com,93.48
georgetracy@gmail.com,102.93
patrickhernandez@gmail.com,79.93
samuel81@icloud.com,77.73
griffithleslie@yahoo.com,97.19
ramosmichelle@yahoo.com,64.68
kwilson@gmail.com,126.78
nathanielmartin@yahoo.com,43.91
ujenkins@gmail.com,138.53
smiller@yahoo.com,130.1
terrykevin@yahoo.com,106.78
reevesjimmy@icloud.com,88.76
martinaaron@icloud.com,88.95
lmoon@yahoo.com,78.94
jack04@icloud.com,110.26
michael86@yahoo.com,145.16
nicolejohnson@yahoo.com,58.0
perrymark@icloud.com,106.23
frankgray@yahoo.com,17.07
mcknightdavid@icloud.com,144.15
michelle64@yahoo.com,92.62
meagan89@gmail.com,77.35
natasha43@gmail.com,124.67
clintonhopkins@icloud.com,12.18
patricia12@gmail.com,71.13
sarah35@gmail.com,152.29
nataliearroyo@gmail.com,40.39
kendragalloway@gmail.com,140.5
djames@yahoo.com,95.48
ambercummings@yahoo.com,109.08
jamessmith@gmail.com,151.15
jrivas@icloud.com,54.87
smoore@gmail.com,38.09
hernandezlisa@icloud.com,60.95
teresa28@gmail.com,54.48
meadowsbrittany@yahoo.com,57.31
juan35@gmail.com,111.03
larsonemma@gmail.com,80.62
zroberts@yahoo.com,47.74
jeffrey10@gmail.com,97.74
wdavis@yahoo.com,76.92
tonykelly@icloud.com,117.39
jillrhodes@yahoo.com,93.19
priceelizabeth@icloud.com,71.03
barnold@yahoo.com,147.77
benjamin96@icloud.com,48.43
ryangross@yahoo.com,124.95
stevenscott@icloud.com,75.69
williamsyvette@gmail.com,30.07
oyu@icloud.com,45.4
ronaldstephens@yahoo.com,86.62
josephmiller@gmail.com,61.89
amoore@yahoo.com,119.84
kellie42@yahoo.com,184.91
ojones@icloud.com,46.57
dwalker@icloud.com,80.91
sarayoung@gmail.com,78.8
housemelinda@gmail.com,45.01
qnelson@gmail.com,77.9
josephwright@yahoo.com,141.51
blackjames@gmail.com,85.02
alexander67@gmail.com,31.69
lynchgeorge@yahoo.com,91.88
lpetersen@icloud.com,114.89
davisjeffrey@yahoo.com,181.39
jonathanfletcher@gmail.com,130.46
esanchez@icloud.com,32.71
hoganashlee@gmail.com,39.24
ccalderon@gmail.com,136.06
amanda51@yahoo.com,122.5
andrewstaylor@icloud.com,93.27
andreamoore@icloud.com,161.52
smithchristine@yahoo.com,140.34
dwhite@gmail.com,44.64
perezrebecca@icloud.com,114.35
